Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Single,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
55.0,1,17.0,4,4.0,5.0,7.0,1,1,0,1.0,23118.0,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False
39.0,1,9.0,3,4.0,3.0,7.0,1,4,0,2.0,22622.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
42.0,2,8.0,3,1.0,5.0,1.0,0,2,0,2.0,21272.0,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False
37.0,1,12.0,3,5.0,5.0,2.0,1,2,1,1.0,32126.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
23.0,1,7.0,3,5.0,3.0,7.0,0,2,1,1.0,23453.0,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
33.0,1,31.0,4,4.0,3.0,3.0,0,4,1,1.0,23987.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
38.0,1,24.0,2,5.0,3.0,4.0,1,5,0,1.0,20811.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
60.0,1,9.0,4,5.0,3.0,5.0,1,5,0,3.0,32126.0,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False
53.0,3,8.0,2,4.0,4.0,3.0,0,1,1,0.0,22525.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
37.0,1,33.0,4,4.0,3.0,7.0,0,3,1,1.0,24025.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
60.0,3,34.0,3,4.0,5.0,5.0,0,1,1,0.0,25266.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
43.0,1,36.0,3,6.0,3.0,6.0,0,3,1,2.0,22950.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
35.0,1,22.0,2,1.0,4.0,1.0,0,4,1,1.0,17426.0,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False
43.0,1,10.0,4,2.0,3.0,4.0,1,5,1,1.0,23909.0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
52.0,1,34.0,2,1.0,3.0,3.0,1,4,0,0.0,28247.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
59.0,1,9.0,3,5.0,3.0,2.0,1,2,0,1.0,21058.0,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False
36.0,1,33.0,3,3.0,3.0,7.0,0,3,1,0.0,20237.0,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False
29.0,1,23.0,3,4.0,3.0,3.0,0,3,0,1.0,20822.0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False
37.0,1,16.0,3,5.0,4.0,4.0,1,4,0,2.0,27525.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
38.0,1,8.0,2,3.0,3.0,1.0,0,2,0,1.0,21553.0,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
31.0,3,6.0,2,5.0,3.0,2.0,0,3,1,1.0,16359.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
46.0,3,16.0,4,4.0,5.0,6.0,1,2,1,1.0,29439.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
41.0,3,14.0,3,4.0,4.0,3.0,0,5,0,1.0,23339.0,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False
35.0,1,13.0,3,3.0,4.0,2.0,1,3,1,1.0,20363.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
29.0,3,16.0,3,3.0,3.0,2.0,0,4,1,0.0,17642.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
51.0,3,27.0,3,3.0,3.0,1.0,1,5,0,2.0,20441.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
39.0,1,6.0,2,2.0,3.0,1.0,0,3,1,0.0,24613.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
37.0,3,22.0,3,4.0,3.0,5.0,0,5,1,2.0,21334.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
33.0,3,23.0,2,3.0,3.0,2.0,0,3,1,1.0,32126.0,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
51.0,3,19.0,4,4.0,3.0,6.0,0,5,1,3.0,27886.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
42.0,1,12.0,3,2.0,4.0,5.0,0,5,1,1.0,25548.0,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
33.0,3,15.0,4,5.0,4.0,3.0,1,2,1,1.0,23906.0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
30.0,1,17.0,4,4.0,4.0,2.0,0,5,1,1.0,21969.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
